# Dataset: padron_diputados
# Generado: 2026-05-24 01:24
# Filas: 257
# Fuente: Honorable Cámara de Diputados de la Nación Argentina (HCDN)
# URL fuente: https://www.hcdn.gob.ar/diputados/
# Método: Scraping del listado oficial + páginas individuales
# Licencia: CC BY 4.0 — citar como: Quórum (2026), Observatorio de Comportamiento Parlamentario Nacional
#
slug,apellido,nombre,distrito,periodo_mandato,fecha_inicio_mandato,fecha_fin_mandato,bloque,fecha_nacimiento,edad_anios,genero,profesion,profesion_categoria,foto_url,padron_snapshot_fecha
rdiezv,Diez,Romina,SANTA FE,2023-2027,2023-12-10,2027-12-09,LA LIBERTAD AVANZA,1980-01-30,46,F,Economista,Economía y Contabilidad,https://parlamentaria.hcdn.gob.ar/image/27280582536_20231128105528000_small.png,2026-02-17
sdolce,Dolce,Sergio,CHACO,2025-2029,2025-12-10,2029-12-09,UNIÓN POR LA PATRIA,1979-02-28,47,M,Empleado Municipal,Trabajo y Oficios,https://parlamentaria.hcdn.gob.ar/image/20269684438_20251126101424000_small.png,2026-02-17
fdiaz,Díaz,Fernanda,BUENOS AIRES,2025-2029,2025-12-10,2029-12-09,UNIÓN POR LA PATRIA,1990-02-20,36,F,Lic. en Comunicación Social,Comunicación y Periodismo,https://parlamentaria.hcdn.gob.ar/image/27349910298_20251204140349000_small.png,2026-02-17
nemma,Emma,Nicolás,CIUDAD DE BUENOS AIRES,2025-2029,2025-12-10,2029-12-09,LA LIBERTAD AVANZA,1981-10-02,44,M,Abogado,Derecho,https://parlamentaria.hcdn.gob.ar/image/20291515011_20251128090428000_small.png,2026-02-17
gestevez,Estévez,Gabriela Beatriz,CORDOBA,2023-2027,2023-12-10,2027-12-09,UNIÓN POR LA PATRIA,1978-02-11,48,F,Psicóloga,Salud,https://parlamentaria.hcdn.gob.ar/image/27261225234_20231129151114000_small.png,2026-02-17
efalcone,Falcone,Eduardo,BUENOS AIRES,2023-2027,2023-12-10,2027-12-09,MID - MOVIMIENTO DE INTEGRACIÓN Y DESARROLLO,1962-01-18,64,M,Licenciado en Economía,Economía y Contabilidad,https://parlamentaria.hcdn.gob.ar/image/20148134902_20241128142619000_small.png,2026-02-17
afargosi,Fargosi,Alejandro,CIUDAD DE BUENOS AIRES,2025-2029,2025-12-10,2029-12-09,LA LIBERTAD AVANZA,1954-11-28,71,M,Abogado,Derecho,https://parlamentaria.hcdn.gob.ar/image/20113717506_20251211145749000_small.png,2026-02-17
pfarias,Farías,Pablo,SANTA FE,2025-2029,2025-12-10,2029-12-09,PROVINCIAS UNIDAS,1969-07-24,56,M,Abogado,Derecho,https://parlamentaria.hcdn.gob.ar/image/20210031856_20251204140939000_small.png,2026-02-17
emfernandez,Fernández,Elia Marina,TUCUMAN,2023-2027,2025-12-10,2027-12-09,INDEPENDENCIA,1965-02-27,61,F,Docente,Educación y Docencia,https://parlamentaria.hcdn.gob.ar/image/27167354918_20251202142545000_small.png,2026-02-17
jofernandez,Fernández,Jorge,SAN LUIS,2025-2029,2025-12-10,2029-12-09,PRIMERO SAN LUIS,1959-07-10,66,M,Abogado,Derecho,https://parlamentaria.hcdn.gob.ar/image/20133010298_20251202143951000_small.png,2026-02-17
dfernandezm,Fernández Molero,Daiana,CIUDAD DE BUENOS AIRES,2023-2027,2023-12-10,2027-12-09,PRO,1985-10-04,40,F,Economista,Economía y Contabilidad,https://parlamentaria.hcdn.gob.ar/image/27319171148_20231128102546000_small.png,2026-02-17
mferraro,Ferraro,Maximiliano,CIUDAD DE BUENOS AIRES,2023-2027,2023-12-10,2027-12-09,COALICION CIVICA,1975-11-04,50,M,Fecha de Nac.: 04/11/1975,Otras / Sin definir,https://parlamentaria.hcdn.gob.ar/image/20250442433_20231128104631000_small.png,2026-02-17
aferreyra,Ferreyra,Alida,CIUDAD DE BUENOS AIRES,2023-2027,2024-01-31,2027-12-09,LA LIBERTAD AVANZA,1977-09-22,48,F,Abogada,Derecho,https://parlamentaria.hcdn.gob.ar/image/27262351195_20240129145036000_small.png,2026-02-17
aferran,Ferrán,Abelardo,LA PAMPA,2025-2029,2025-12-10,2029-12-09,UNIÓN POR LA PATRIA,1959-07-26,66,M,Médico Veterinario,Agropecuario,https://parlamentaria.hcdn.gob.ar/image/20133677586_20251126102235000_small.png,2026-02-17
sfigliuolo,Figliuolo,Sergio,BUENOS AIRES,2025-2029,2025-12-10,2029-12-09,LA LIBERTAD AVANZA,1976-06-13,49,M,Productor de Radio y Televisión,Comunicación y Periodismo,https://parlamentaria.hcdn.gob.ar/image/20253596814_20251204141955000_small.png,2026-02-17
afinocchiaro,Finocchiaro,Alejandro,BUENOS AIRES,2025-2029,2025-12-10,2029-12-09,PRO,1967-08-27,58,M,Docente,Educación y Docencia,https://parlamentaria.hcdn.gob.ar/image/20184536758_20211202162523000_small.png,2026-02-17
mflores,Flores,Maria Gabriela,SALTA,2025-2029,2025-12-10,2029-12-09,LA LIBERTAD AVANZA,1974-10-03,51,F,Abogada,Derecho,https://parlamentaria.hcdn.gob.ar/image/27241384727_20251204142138000_small.png,2026-02-17
mfrade,Frade,Mónica,BUENOS AIRES,2023-2027,2023-12-10,2027-12-09,COALICION CIVICA,1958-09-29,67,F,Abogada,Derecho,https://parlamentaria.hcdn.gob.ar/image/23127596824_20231128101433000_small.png,2026-02-17
afregonese,Fregonese,Alicia,ENTRE RIOS,2025-2029,2025-12-10,2029-12-09,PRO,1961-01-09,65,F,Fecha de Nac.: 09/01/1961,Otras / Sin definir,https://parlamentaria.hcdn.gob.ar/image/27142715916_20251215115147000_small.png,2026-02-17
afreites,Freites,Andrea,TIERRA DEL FUEGO,2023-2027,2023-12-10,2027-12-09,UNIÓN POR LA PATRIA,1977-02-11,49,M,Docente,Educación y Docencia,https://parlamentaria.hcdn.gob.ar/image/27256325689_20231128102702000_small.png,2026-02-17
mrfrias,Frias,Maira,CHUBUT,2025-2029,2025-12-10,2029-12-09,LA LIBERTAD AVANZA,1987-06-15,38,F,Abogada,Derecho,https://parlamentaria.hcdn.gob.ar/image/27330723578_20251126102513000_small.png,2026-02-17
efelix,Félix,Emir,MENDOZA,2025-2029,2025-12-10,2029-12-09,UNIÓN POR LA PATRIA,1964-08-07,61,M,Productor,Empresa y Comercio,https://parlamentaria.hcdn.gob.ar/image/20168368373_20251204141145000_small.png,2026-02-17
mgallardo,Gallardo,María Virginia,CORRIENTES,2025-2029,2025-12-10,2029-12-09,LA LIBERTAD AVANZA,1985-09-25,40,F,Artista,Artes y Cultura,https://parlamentaria.hcdn.gob.ar/image/27318487222_20251215091750000_small.png,2026-02-17
sgalmarini,Galmarini,Sebastián,BUENOS AIRES,2025-2029,2025-12-10,2029-12-09,UNIÓN POR LA PATRIA,1978-07-01,47,M,Politólogo,Ciencias Sociales y Políticas,https://parlamentaria.hcdn.gob.ar/image/20266508329_20251201142222000_small.png,2026-02-17
cadgarcia,García,Carlos,CHACO,2023-2027,2023-12-10,2027-12-09,LA LIBERTAD AVANZA,1971-09-25,54,M,Productor Agropecuario,Agropecuario,https://parlamentaria.hcdn.gob.ar/image/20221313837_20231205095639000_small.png,2026-02-17
mtgarcia,García,María Teresa,BUENOS AIRES,2025-2029,2025-12-10,2029-12-09,UNIÓN POR LA PATRIA,1956-02-09,70,F,Fecha de Nac.: 09/02/1956,Otras / Sin definir,https://parlamentaria.hcdn.gob.ar/image/27122857714_20251126102902000_small.png,2026-02-17
algarcia,García,Álvaro,BUENOS AIRES,2025-2029,2025-12-10,2029-12-09,LA LIBERTAD AVANZA,1979-01-10,47,M,Abogado,Derecho,https://parlamentaria.hcdn.gob.ar/image/20270878181_20251204142930000_small.png,2026-02-17
igarciaa,García Aresca,Ignacio,CORDOBA,2025-2029,2025-12-10,2029-12-09,PROVINCIAS UNIDAS,1969-08-24,56,M,Licenciado en Administración de Empresas,Economía y Contabilidad,https://parlamentaria.hcdn.gob.ar/image/20208736338_20251203094634000_small.png,2026-02-17
jgarrido,Garrido,José Luis,SANTA CRUZ,2023-2027,2023-12-10,2027-12-09,POR SANTA CRUZ,1969-05-13,57,M,Empleado,Trabajo y Oficios,https://parlamentaria.hcdn.gob.ar/image/20209210739_20240122145422000_small.png,2026-02-17
agiampieri,Giampieri,Antonela,CIUDAD DE BUENOS AIRES,2025-2029,2025-12-10,2029-12-09,PRO,1988-09-20,37,F,Abogada,Derecho,https://parlamentaria.hcdn.gob.ar/image/27339516524_20251204143259000_small.png,2026-02-17
sgiudici,Giudici,Silvana,CIUDAD DE BUENOS AIRES,2023-2027,2023-12-10,2027-12-09,LA LIBERTAD AVANZA,1965-04-19,61,F,Fecha de Nac.: 19/04/1965,Otras / Sin definir,https://parlamentaria.hcdn.gob.ar/image/27145408909_20231128100754000_small.png,2026-02-17
dgiuliano,Giuliano,Diego A.,SANTA FE,2023-2027,2023-12-10,2027-12-09,UNIÓN POR LA PATRIA,1965-01-14,61,M,Abogado,Derecho,https://parlamentaria.hcdn.gob.ar/image/20172884181_20231129150454000_small.png,2026-02-17
